Date,Open,High,Low,Close,Volume,Range,%K(Fast)(14),"%D(Fast)(14,3)","VWMA(C,20)",%K(Fast)(9),"%D(Fast)(9,3)",%K(Fast)(40),"%D(Fast)(40,4)","%K(Full)(60,10)","%D(Full)(60,10,10)",ATR(14)
31/12/2024 05:46:00,5976,5976.75,5975.75,5976.25,177,1,25,33.4,5977.46,25,26,68.1,73.2,76.6,75.7,1.286
31/12/2024 05:47:00,5976.25,5976.25,5974.5,5974.5,278,1.75,,16.7,5977.4,,13,47.6,62.9,72.5,75.1,1.321
31/12/2024 05:48:00,5974.5,5974.5,5972.5,5972.5,372,2,,8.4,5977.11,,6.5,23.1,47,66.1,73.5,1.357
31/12/2024 05:49:00,5972.75,5973.5,5971.5,5973,324,2,17.6,13,5976.93,17.6,12.1,28.2,39.5,61.7,71.3,1.446
31/12/2024 05:50:00,5973,5974.5,5972.25,5972.5,437,2.25,11.8,12.4,5976.64,12.5,12.3,23.1,32.9,57.3,68.8,1.482
31/12/2024 05:51:00,5972.5,5974,5972.25,5973.75,132,1.75,26.5,19.4,5976.49,32.1,22.2,35.9,34.1,55.6,66.4,1.518
31/12/2024 05:52:00,5973.75,5974.75,5973,5974.5,183,1.75,35.3,27.4,5976.22,50,36.1,43.6,37.9,55.3,64.4,1.589
31/12/2024 05:53:00,5974.75,5975,5974,5974.75,154,1,38.2,32.8,5976.11,54.2,45.1,46.2,41.2,55.5,62.7,1.589
31/12/2024 05:54:00,5974.75,5974.75,5973.5,5974,122,1.25,29.4,31.1,5976,47.6,46.4,38.5,40.1,54.5,61.2,1.589
31/12/2024 05:55:00,5974,5974,5972.25,5972.25,193,1.75,9.4,20.2,5975.81,15.8,31.1,20.5,32.3,51,59.4,1.643
31/12/2024 05:56:00,5972,5973,5971.75,5972.75,506,1.25,17.9,19,5975.43,35.7,33.4,25.6,29.6,48.9,57.5,1.643
31/12/2024 05:57:00,5972.75,5973.75,5972.5,5973.25,115,1.25,29.2,24.1,5975.3,50,41.7,30.8,30.1,48,55.8,1.607
31/12/2024 05:58:00,5973.25,5974.5,5973,5974,166,1.5,41.7,32.9,5975.16,69.2,55.5,38.5,33.4,48.4,54.4,1.643
31/12/2024 05:59:00,5974.25,5974.5,5973,5973,128,1.5,28.6,30.7,5974.8,38.5,47,28.2,31.3,47.1,53.1,1.571
31/12/2024 06:00:00,5973.25,5973.25,5970,5971.25,613,3.25,20,25.4,5974.03,25,36,12.5,23.8,43.5,51.3,1.732
31/12/2024 06:01:00,5971.25,5971.5,5969.75,5970,430,1.75,4.8,15.1,5973.49,4.8,20.4,2.4,15.3,38.6,49,1.732
31/12/2024 06:02:00,5970.25,5972.25,5970.25,5971.75,344,2,38.1,26.6,5973.24,40,30.2,19.5,17,37.3,46.9,1.75
31/12/2024 06:03:00,5971.5,5973.25,5971.5,5972.5,311,1.75,52.4,39.5,5973.09,57.9,44,26.8,20.9,37.3,45.2,1.732
31/12/2024 06:04:00,5972.5,5972.5,5970.5,5970.75,376,2,19,29.3,5972.83,21.1,32.5,9.8,16.4,34.7,43.3,1.714
31/12/2024 06:05:00,5970.5,5972,5970.5,5971.5,511,1.5,33.3,31.3,5972.44,36.8,34.7,17.1,16.7,33.7,41.5,1.696
31/12/2024 06:06:00,5971.75,5974,5970.5,5973.75,365,3.5,76.2,53.7,5972.41,84.2,59.5,39,25.6,36.1,40.5,1.821
31/12/2024 06:07:00,5973.75,5974.25,5973,5974,252,1.25,85,69.4,5972.38,89.5,74.5,41.5,32,37.3,39.9,1.839
31/12/2024 06:08:00,5974.25,5974.75,5973.25,5974.25,234,1.5,90,79.7,5972.44,90,82.2,43.9,36.7,38.5,39.7,1.857
31/12/2024 06:09:00,5974.25,5975,5973.5,5974.5,249,1.5,90.5,85.1,5972.5,90.5,86.4,46.3,40.6,39.9,39.7,1.839
31/12/2024 06:10:00,5974.25,5975.5,5972.75,5975,812,2.75,91.3,88.2,5972.83,90.5,88.4,51.2,44.8,42,40.1,1.946
31/12/2024 06:11:00,5974.75,5976,5974.75,5975.25,648,1.25,88,88.1,5973.04,86.4,87.4,53.7,48.4,44.1,40.9,1.946
31/12/2024 06:12:00,5975.5,5976.5,5975,5976.25,418,1.5,96.3,92.2,5973.2,95.8,91.6,63.4,54.4,47.6,42.1,1.946
31/12/2024 06:13:00,5976.25,5977.25,5976.25,5977.25,501,1,100,96.1,5973.44,100,95.8,73.2,61.9,52.3,43.9,1.911
31/12/2024 06:14:00,5977,5977.75,5975.25,5976.25,751,2.5,81.3,88.7,5973.7,79.3,87.6,63.4,62.5,54.3,45.8,1.857
31/12/2024 06:15:00,5976.25,5976.75,5975.75,5976.75,341,1,86.7,87.7,5973.87,80,83.8,68.3,64.8,56.8,47.8,1.804
31/12/2024 06:16:00,5976.75,5977.75,5976.5,5977,385,1.25,89.7,88.7,5974.09,85,84.4,70.7,67.2,59.4,49.9,1.732
31/12/2024 06:17:00,5977,5977,5975.5,5975.75,416,1.5,72.4,80.5,5974.18,60,72.2,58.5,63.7,59.2,51.6,1.714
31/12/2024 06:18:00,5975.75,5976.5,5975.75,5976,292,0.75,75.9,78.2,5974.25,65,68.6,61,62.6,59.5,53.1,1.625
31/12/2024 06:19:00,5976,5976.5,5975,5976.5,451,1.5,82.8,80.5,5974.39,58.3,63.5,65.9,63.9,60.7,54.4,1.625
31/12/2024 06:20:00,5976.5,5978,5976,5977.5,582,2,90.5,85.5,5974.82,83.3,73.4,75.6,68.6,63.4,56.1,1.518
31/12/2024 06:21:00,5977.5,5978,5977.25,5977.5,492,0.75,90.5,88,5975.21,83.3,78.4,79.5,73,65.6,57.8,1.482
